Source,Target,weight,label
-9189283624875180872,-7784712059813151204,3345,3345
-9189283624875180872,-7675450448203336984,2833,2833
-9189283624875180872,-6806691435797463535,606,606
-9189283624875180872,-4999257352771650151,725,725
-9189283624875180872,-4876003296321717233,534,534
-9189283624875180872,-4659302083593487529,530,530
-9189283624875180872,-4387858203142964056,902,902
-9189283624875180872,-4060513158963513109,1868,1868
-9189283624875180872,-3304550021239131016,1221,1221
-9189283624875180872,-3268067683072787167,1981,1981
-9189283624875180872,-2406154927270380003,2618,2618
-9189283624875180872,-273033171021384035,1928,1928
-9189283624875180872,2589265509983531627,1589,1589
-9189283624875180872,2695305337569098618,2812,2812
-9189283624875180872,2707166451744194534,772,772
-9189283624875180872,2811838510934669772,867,867
-9189283624875180872,3645692567939266464,1686,1686
-9189283624875180872,4775248038139805003,632,632
-9189283624875180872,5074974895441262076,1484,1484
-9189283624875180872,5669528293118392224,1181,1181
-9189283624875180872,7341486337184709423,1359,1359
-9189283624875180872,7519427517373691798,761,761
-9189283624875180872,8584721346566371541,705,705
-9096232754884560930,-7537657905707207481,643,643
-9096232754884560930,-6861850936062169047,796,796
-9096232754884560930,-6657017815155132421,641,641
-9096232754884560930,-6174967750217613587,1526,1526
-9096232754884560930,-6026813875032476846,7707,7707
-9096232754884560930,-5440734165330348305,951,951
-9096232754884560930,-5264754114606649098,1912,1912
-9096232754884560930,-4060513158963513109,4872,4872
-9096232754884560930,-3869629224220610070,1075,1075
-9096232754884560930,-3810326145888079572,2273,2273
-9096232754884560930,-3700314938593300040,620,620
-9096232754884560930,-3522223837183396362,1760,1760
-9096232754884560930,-2337037304635902232,863,863
-9096232754884560930,-1985366962235755618,768,768
-9096232754884560930,-560123512857411715,696,696
-9096232754884560930,160009025870183982,1527,1527
-9096232754884560930,1033778921950427255,1139,1139
-9096232754884560930,1108832248229541119,1669,1669
-9096232754884560930,2707166451744194534,3666,3666
-9096232754884560930,2811838510934669772,3072,3072
-9096232754884560930,3039183585666478258,6792,6792
-9096232754884560930,3142100258669736279,593,593
-9096232754884560930,3645692567939266464,2605,2605
-9096232754884560930,3885007491926212353,695,695
-9096232754884560930,4064891571011074380,753,753
-9096232754884560930,6903485232791761071,511,511
-9096232754884560930,7744895437826374207,779,779
-9054730520840161619,-4666453782075787270,829,829
-9054730520840161619,-3304550021239131016,1110,1110
-9054730520840161619,-2406154927270380003,1310,1310
-9054730520840161619,-2159857214311285554,1064,1064
-9054730520840161619,-273033171021384035,789,789
-9054730520840161619,2695305337569098618,1466,1466
-9054730520840161619,2811838510934669772,743,743
-9054730520840161619,3039183585666478258,2808,2808
-9045514412949687915,-8641629872156953748,514,514
-9045514412949687915,-1036264720951525578,641,641
-9045514412949687915,4871551355561784252,540,540
