Source,Target,weight,label
-6806691435797463535,-5904698658142210447,723,723
-5904698658142210447,-4387858203142964056,330,330
-5904698658142210447,-4060513158963513109,673,673
-5904698658142210447,-3268067683072787167,1132,1132
-5904698658142210447,-2406154927270380003,940,940
-5904698658142210447,-2158435871750802565,335,335
-5904698658142210447,2589265509983531627,882,882
-5904698658142210447,2811838510934669772,365,365
-5904698658142210447,3039183585666478258,447,447
-5904698658142210447,3645692567939266464,511,511
-5904698658142210447,7341486337184709423,373,373
-9189283624875180872,-5904698658142210447,571,571
-8745505558082406655,-5904698658142210447,485,485
-8214467404883938797,-5904698658142210447,311,311
-7784712059813151204,-5904698658142210447,1572,1572
-6026813875032476846,-5904698658142210447,1061,1061
-5904698658142210447,-3473508732087881092,465,465
-5904698658142210447,-2179786877876424548,462,462
-5904698658142210447,-2159857214311285554,1251,1251
-5904698658142210447,-273033171021384035,629,629
-5904698658142210447,2707166451744194534,408,408
-5904698658142210447,5459520483848108657,327,327
-9096232754884560930,-5904698658142210447,1400,1400
-5904698658142210447,-3304550021239131016,545,545
-5904698658142210447,-1092374183810287215,309,309
-5904698658142210447,2695305337569098618,1363,1363
